Datum,PowerPrice
0.0,
3600.0,
7200.0,
10800.0,
14400.0,
18000.0,
21600.0,
25200.0,
28800.0,
32400.0,
36000.0,
39600.0,
43200.0,
46800.0,
50400.0,
54000.0,
57600.0,
61200.0,
64800.0,
68400.0,
72000.0,
75600.0,
79200.0,
82800.0,
86400.0,
90000.0,
93600.0,
97200.0,
100800.0,
104400.0,
108000.0,
111600.0,
115200.0,
118800.0,
122400.0,
126000.0,
129600.0,
133200.0,
136800.0,
140400.0,
144000.0,
147600.0,
151200.0,
154800.0,
158400.0,
162000.0,
165600.0,
169200.0,
172800.0,
176400.0,
180000.0,
183600.0,
187200.0,
190800.0,
194400.0,
198000.0,
201600.0,
205200.0,
208800.0,
212400.0,
216000.0,
219600.0,
223200.0,
226800.0,
230400.0,
234000.0,
237600.0,
241200.0,
244800.0,
248400.0,
252000.0,
255600.0,
259200.0,
262800.0,
266400.0,
270000.0,
273600.0,
277200.0,
280800.0,
284400.0,
288000.0,
291600.0,
295200.0,
298800.0,
302400.0,
306000.0,
309600.0,
313200.0,
316800.0,
320400.0,
324000.0,
327600.0,
331200.0,
334800.0,
338400.0,
342000.0,
345600.0,22.34
349200.0,17.93
352800.0,15.17
356400.0,16.38
360000.0,17.38
363600.0,16.38
367200.0,26.61
370800.0,37.63
374400.0,39.09
378000.0,41.51
381600.0,40.46
385200.0,40.97
388800.0,40.72
392400.0,41.92
396000.0,42
399600.0,43.1
403200.0,46.7
406800.0,56.78
410400.0,58.84
414000.0,49.23
417600.0,44.32
421200.0,40
424800.0,35.08
428400.0,30.03
432000.0,30.02
435600.0,30.57
439200.0,30.25
442800.0,30.29
446400.0,30.63
450000.0,29.64
453600.0,29.67
457200.0,38.82
460800.0,40.76
464400.0,40.02
468000.0,33.99
471600.0,31.22
475200.0,30.06
478800.0,29.99
482400.0,30.73
486000.0,37.38
489600.0,40.32
493200.0,45.96
496800.0,45.71
500400.0,39.57
504000.0,32.92
507600.0,29.15
511200.0,28.46
